_id,id,name_en,name_fa,fifa_name,city_en,city_fa,country_en,country_fa,capacity,region,createdAt,__v
698715d7b7461995f2ddd862,1,Estadio Azteca,استادیوم آزتکا,Mexico City Stadium,Mexico City,مکزیکوسیتی,Mexico,مکزیک,83000,Central,2026-02-07T10:37:11.008Z,0
698715d7b7461995f2ddd864,2,Estadio Akron,استادیوم آکرون,Estadio Guadalajara,Guadalajara (Zapopan),گوادالاخارا,Mexico,مکزیک,48000,Central,2026-02-07T10:37:11.015Z,0
698715d7b7461995f2ddd866,3,Estadio BBVA,استادیوم بی‌بی‌وی‌ای,Estadio Monterrey,Monterrey (Guadalupe),مونتری,Mexico,مکزیک,53500,Central,2026-02-07T10:37:11.018Z,0
698715d7b7461995f2ddd868,4,AT&T Stadium,استادیوم ای‌تی‌اند‌تی,Dallas Stadium,"Dallas (Arlington, Texas)",دالاس,United States,آمریکا,94000,Central,2026-02-07T10:37:11.021Z,0
698715d7b7461995f2ddd86a,5,NRG Stadium,استادیوم ان‌آر‌جی,Houston Stadium,Houston,هیوستون,United States,آمریکا,72000,Central,2026-02-07T10:37:11.024Z,0
698715d7b7461995f2ddd86c,6,GEHA Field at Arrowhead Stadium,استادیوم اروهد,Kansas City Stadium,Kansas City,کانزاس سیتی,United States,آمریکا,73000,Central,2026-02-07T10:37:11.026Z,0
698715d7b7461995f2ddd86e,7,Mercedes-Benz Stadium,استادیوم مرسدس بنز,Atlanta Stadium,Atlanta,آتلانتا,United States,آمریکا,75000,Eastern,2026-02-07T10:37:11.028Z,0
698715d7b7461995f2ddd870,8,Hard Rock Stadium,استادیوم هارد راک,Miami Stadium,Miami (Miami Gardens),میامی,United States,آمریکا,65000,Eastern,2026-02-07T10:37:11.030Z,0
698715d7b7461995f2ddd872,9,Gillette Stadium,استادیوم ژیلت,Boston Stadium,Boston (Foxborough),بوستون,United States,آمریکا,65000,Eastern,2026-02-07T10:37:11.032Z,0
698715d7b7461995f2ddd874,10,Lincoln Financial Field,استادیوم لینکلن فایننشال,Philadelphia Stadium,Philadelphia,فیلادلفیا,United States,آمریکا,69000,Eastern,2026-02-07T10:37:11.035Z,0
698715d7b7461995f2ddd876,11,MetLife Stadium,استادیوم متلایف,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),نیویورک/نیوجرسی,United States,آمریکا,82500,Eastern,2026-02-07T10:37:11.037Z,0
698715d7b7461995f2ddd878,12,BMO Field,استادیوم بی‌ام‌او,Toronto Stadium,Toronto,تورنتو,Canada,کانادا,45000,Eastern,2026-02-07T10:37:11.039Z,0
698715d7b7461995f2ddd87a,13,BC Place,استادیوم بی‌سی پلیس,BC Place Vancouver,Vancouver,ونکوور,Canada,کانادا,54000,Western,2026-02-07T10:37:11.042Z,0
698715d7b7461995f2ddd87c,14,Lumen Field,استادیوم لومن فیلد,Seattle Stadium,Seattle,سیاتل,United States,آمریکا,69000,Western,2026-02-07T10:37:11.043Z,0
698715d7b7461995f2ddd87e,15,Levi's Stadium,استادیوم لیوایز,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),سن‌فرانسیسکو,United States,آمریکا,71000,Western,2026-02-07T10:37:11.045Z,0
698715d7b7461995f2ddd880,16,SoFi Stadium,استادیوم سوفای,Los Angeles Stadium,Los Angeles (Inglewood),لس‌آنجلس,United States,آمریکا,70000,Western,2026-02-07T10:37:11.047Z,0
